Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
372030,Katla,12590,Confirmed Eruption,,,,?,-4610,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372070,Hekla,12696,Confirmed Eruption,Gunnarsholtshraun,,,,-4650,500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
372030,Katla,12589,Confirmed Eruption,,,,?,-4660,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372070,Hekla,12695,Confirmed Eruption,,4,+,?,-4700,,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
372070,Hekla,12694,Confirmed Eruption,Vatnafjöll (west of Laufafell),,,,-4750,2500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
372030,Katla,12588,Confirmed Eruption,,,,?,-4750,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
373030,Bardarbunga,12847,Confirmed Eruption,Veidvötn (Tungnaárhraun THc),,,?,-4800,,0,,0,,Tephrochronology,,,,,,,,64.633,-17.516
372030,Katla,12587,Confirmed Eruption,,,,?,-4810,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372050,Torfajokull,12682,Confirmed Eruption,W of caldera (Laufafell domes),,,?,-4850,,0,,0,,Tephrochronology,,,,,,,,63.892,-19.122
372030,Katla,12586,Confirmed Eruption,,,,?,-4880,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372070,Hekla,12693,Confirmed Eruption,Vatnafjöll (Raudölduhraun),,,,-4950,2500,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
373030,Bardarbunga,12846,Confirmed Eruption,Trölladyngja,,,?,-5000,,0,,0,,Tephrochronology,,,,,,,,64.633,-17.516
373050,Kverkfjoll,12898,Confirmed Eruption,"Krepputunguhraun, Kverfjallahraun",,,,-5000,1000,0,,0,,Tephrochronology,,,,,,,,64.653,-16.647
371050,Hengill,12523,Confirmed Eruption,Eldborgir,,,?,-5000,,0,,0,,Tephrochronology,,,,,,,,64.083,-21.416
372030,Katla,12585,Confirmed Eruption,,,,?,-5020,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371020,Reykjanes,12485,Confirmed Eruption,Hopsnes,0,,,-5040,100,0,,0,,Radiocarbon (uncorrected),,,,,,,,63.817,-22.717
372030,Katla,12584,Confirmed Eruption,,,,?,-5040,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372050,Torfajokull,12681,Confirmed Eruption,Hrafntinnusker and Domadalshraun,,,?,-5050,,0,,0,,Tephrochronology,,,,,,,,63.892,-19.122
372070,Hekla,12692,Confirmed Eruption,"Reydarvatnshraun lava flow, Vatnafjöll",,,?,-5050,,0,,0,,Tephrochronology,,,,,,,,63.983,-19.666
372030,Katla,12583,Confirmed Eruption,,,,?,-5070,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372070,Hekla,12691,Confirmed Eruption,,5,,?,-5150,,0,,0,,Radiocarbon (corrected),,,,,,,,63.983,-19.666
372030,Katla,12582,Confirmed Eruption,,,,?,-5180,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
372030,Katla,12581,Confirmed Eruption,,,,?,-5230,,0,,0,,Tephrochronology,,,,,,,,63.633,-19.083
371030,Krysuvik-Trolladyngja,19921,Confirmed Eruption,Burfell,2,,,-5290,150,0,,0,,Radiocarbon (uncorrected),,,,,,,,63.917,-22.067
